website	activeUsers	newUsers	totalUsers	eventCountPerUser	screenPageViewsPerUser	sessions	averageSessionDuration	screenPageViews	engagementRate	total_coursera_enrollments	total_leanpub_enrollees
AI in Software	103	103	103	26.135922330097088	7.737864077669903	309	384.948135	797	0.5469255663430421	137	7
NIH Data Sharing	165	165	165	17.496969696969696	5	344	248.1831605319767	825	0.436046511627907	NA	NA
AI For Decision Makers	26	26	26	151.57692307692307	49.84615384615385	217	668.2291450783409	1296	0.7557603686635944	NA	NA
ITN Website	5478	5450	5478	8.128696604600218	2.5770354143848118	8757	181.5046802129725	14117	0.4550645198127212	NA	NA
Leadership Course	394	395	394	13.52284263959391	3.763959390862944	748	230.4630029532086	1483	0.5227272727272727	623	32
Documentation and Usability Course	726	726	726	9.979338842975206	2.677685950413223	1072	193.41994266884328	1944	0.5177238805970149	284	26
Computing	602	602	603	19.385382059800666	6.059800664451827	1305	278.0417969180077	3648	0.5203065134099617	931	20
Reproducibility	1302	1288	1306	10.923195084485407	2.978494623655914	2062	193.1162957546072	3878	0.451988360814743	359	12
Advanced Reproducibility in Cancer Informatics	324	323	325	14.725308641975309	4.138888888888889	696	224.0280996307471	1341	0.507183908045977	264	15
Ethical Data Handling	57	56	58	28.82456140350877	8.543859649122806	205	278.71926183902434	487	0.5024390243902439	NA	NA
OTTR website	779	778	779	4.822849807445443	1.4082156611039796	1030	67.8752610262136	1097	0.3106796116504854	NA	NA
Choosing Genomic Tools	93	92	93	21.43010752688172	6.150537634408602	244	251.58241795491804	572	0.569672131147541	NA	13
Overleaf Intro	17	17	17	29.764705882352942	9.941176470588236	49	471.6625947346939	169	0.6122448979591837	NA	NA
GitHub Automation for Scientists	20	20	20	14.3	3.9	36	238.6485744166667	78	0.5277777777777778	NA	NA
